Customer_ID,Num_CC,Dependents,Status_Checking_Acc,Credit_History,Purposre_Credit_Taken,Savings_Acc,Years_At_Present_Employment,Marital_Status_Gender,Other_Debtors_Guarantors,Other_Inst_Plans ,Housing,Job,Telephone,Foreign_Worker,Duration_binned,Credit_amount_binned,Age_binned,Default_On_Payment
100001,2,1,A11,A34,A43,A65,A75,A93,A101,A143,A152,A173,A192,A201,B10,B20,B35,0
100002,1,1,A12,A32,A43,A61,A73,A92,A101,A143,A152,A173,A191,A201,B14,B22,B30,0
100003,1,2,A14,A34,A46,A61,A74,A93,A101,A143,A152,A172,A191,A201,B11,B20,B33,0
100004,1,2,A11,A32,A42,A61,A74,A93,A103,A143,A153,A173,A191,A201,B13,B23,B33,0
100005,2,2,A11,A33,A40,A61,A73,A93,A101,A143,A153,A173,A191,A201,B12,B21,B33,1
100006,1,2,A14,A32,A46,A65,A73,A93,A101,A143,A153,A172,A192,A201,B13,B23,B32,0
100007,1,1,A14,A32,A42,A63,A75,A93,A101,A143,A152,A173,A191,A201,B12,B21,B33,0
100008,1,1,A12,A32,A41,A61,A73,A93,A101,A143,A151,A174,A192,A201,B13,B22,B32,0
100009,1,1,A14,A32,A43,A64,A74,A91,A101,A143,A152,A172,A191,A201,B11,B21,B34,0
100010,2,1,A12,A34,A40,A61,A71,A94,A101,A143,A152,A174,A191,A201,B12,B22,B31,1
100011,1,1,A12,A32,A40,A61,A72,A92,A101,A143,A151,A173,A191,A201,B11,B20,B31,1
100012,1,1,A11,A32,A49,A61,A72,A92,A101,A143,A151,A173,A191,A201,B14,B21,B30,1
100013,1,1,A12,A32,A43,A61,A73,A92,A101,A143,A152,A173,A192,A201,B11,B20,B30,0
100014,2,1,A11,A34,A40,A61,A75,A93,A101,A143,A152,A172,A191,A201,B12,B20,B34,1
100015,1,1,A11,A32,A40,A61,A73,A92,A101,A143,A151,A173,A191,A201,B11,B20,B31,0
100016,1,1,A11,A32,A43,A62,A73,A92,A101,A143,A152,A172,A191,A201,B12,B20,B31,1
